<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
VE4/0/1.3679                  up      up       EXTERNAL-FULLMESH-SPOKE-600335-IPV1630011
VE4/0/1.3683                  up      up       EXTERNAL-FULLMESH-SPOKE-600367-IPV1800019
VE4/0/1.3691                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490313
VE4/0/1.3692                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260981
VE4/0/1.3696                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160518
VE4/0/1.3697                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160663
VE4/0/1.3698                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160456
VE4/0/1.3700                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160546
VE4/0/1.3701                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160661
VE4/0/1.3702                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160662
VE4/0/1.3703                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160660
VE4/0/1.3704                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160545
VE4/0/1.3705                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050019
VE4/0/1.3706                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050022
VE4/0/1.3707                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050012
VE4/0/1.3709                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050036
VE4/0/1.3710                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050020
VE4/0/1.3711                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050038
VE4/0/1.3712                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050016
VE4/0/1.3713                  up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500452
VE4/0/1.3714                  up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500453
VE4/0/1.3715                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261060
VE4/0/1.3716                  up      up       EXTERNAL-FULLMESH-SPOKE-600367-IPV1800052
VE4/0/1.3717                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261127
VE4/0/1.3719                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261137
VE6/0/0                       up      down     VIR-L3-MHN                      
VE6/0/0.1                     up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500411
VE6/0/0.8                     up      up       ITVI500001                      
VE6/0/0.9                     up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19903401
VE6/0/0.10                    up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19910443
VE6/0/0.11                    up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500186
VE6/0/0.12                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-0015
VE6/0/0.13                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-MNG-SW-0033
VE6/0/0.14                    up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140122
VE6/0/0.15                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500246
VE6/0/0.16                    up      up       EXTERNAL-FULLMESH-SPOKE-600300-IPV1430181
VE6/0/0.17                    up      up       EXTERNAL-FULLMESH-SPOKE-600300-IPV1430177
VE6/0/0.18                    up      up       EXTERNAL-FULLMESH-SPOKE-600300-IPV1430182
VE6/0/0.19                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VoADSL-MHN
VE6/0/0.20                    up      up       INTERNAL-FULLMESH-SPOKE-2020- IPVI500264
VE6/0/0.21                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500264
VE6/0/0.22                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151133
VE6/0/0.23                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151133
VE6/0/0.24                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151209
VE6/0/0.25                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151209
VE6/0/0.3000                  up      down     EXTERNAL-FULLMESH-SPOKE-600175-IPV2350005
VE6/0/0.3001                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350006
VE6/0/0.3002                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350007
VE6/0/0.3003                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350008
VE6/0/0.3004                  up      up       EXTERNAL-FULLMESH-SPOKE-600612-IAD2340015
VE6/0/0.3005                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500241
VE6/0/0.3006                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350005
VE6/0/0.3500                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500199
VE6/0/0.3501                  up      down     INTERNAL-FULLMESH-SPOKE-2020-IPVI500241
VE6/0/0.3502                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500242
VE6/0/0.3503                  up      down     INTERNAL-FULLMESH-SPOKE-2020-IPVI500197
VE6/0/0.3504                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500198
VE6/0/0.4094                  down    down     IPCORE                          
VE6/0/1                       up      down     VIR-L2-MHN                      
VE6/0/1.1                     up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500411
VE6/0/1.8                     up      up       ITVI500001                      
VE6/0/1.9                     up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19903401
VE6/0/1.10                    up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19910443
VE6/0/1.11                    up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500186
VE6/0/1.12                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-0015
VE6/0/1.13                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-MNG-SW-0033
VE6/0/1.14                    up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140122
VE6/0/1.15                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500246
VE6/0/1.16                    up      up       EXTERNAL-FULLMESH-SPOKE-600300-IPV1430181
VE6/0/1.17                    up      up       EXTERNAL-FULLMESH-SPOKE-600300-IPV1430177
VE6/0/1.18                    up      up       EXTERNAL-FULLMESH-SPOKE-600300-IPV1430182
VE6/0/1.19                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VoADSL-MHN
VE6/0/1.20                    up      up       INTERNAL-FULLMESH-SPOKE-2020- IPVI500264
VE6/0/1.21                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500264
VE6/0/1.22                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151133
VE6/0/1.23                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151133
VE6/0/1.24                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151209
VE6/0/1.25                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151209
VE6/0/1.2999                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-VoADSL-MHN
VE6/0/1.3000                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350005
VE6/0/1.3001                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350006
VE6/0/1.3002                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350007
VE6/0/1.3003                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350008
VE6/0/1.3004                  up      up       EXTERNAL-FULLMESH-SPOKE-600612-IAD2340015
VE6/0/1.3005                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500241
VE6/0/1.3006                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350005
VE6/0/1.3500                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500199
VE6/0/1.3501                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500241
VE6/0/1.3502                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500242
VE6/0/1.3503                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500197
VE6/0/1.3504                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500198
VE6/0/1.4094                  up      up       IPCORE                          
VE16/0/0                      up      down     VIR-L3-CMI1&3                   
VE16/0/0.1                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-GW-MNG-DSLAM-FANG
VE16/0/0.2                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-GW_TEMP_4001-36
VE16/0/0.3                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
VE16/0/0.4                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
VE16/0/0.5                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VOICE-CMI1
VE16/0/0.6                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD-TTTBB-CMI1
VE16/0/0.8                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-VoADSL-CMI2
VE16/0/0.9                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI1
VE16/0/0.10                   up      up       INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI2
VE16/0/0.11                   up      up       INTERNAL-FULLMESH-SPOKE-1035-GW-CMI1
VE16/0/0.12                   down    down     INTERNAL-FULLMESH-SPOKE-1035-GW-CMI1-2
VE16/0/0.13                   down    down     INTERNAL-FULLMESH-SPOKE-1035-GW-CMI2
VE16/0/0.16                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500057
VE16/0/0.17                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500058
VE16/0/0.18                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500073
VE16/0/0.19                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500074
VE16/0/0.20                   up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MANAGEMENT-CMI-1
VE16/0/0.21                   up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MEDIA-CMI-1
VE16/0/0.23                   up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-SIGNALING-CMI-1
VE16/0/0.25                   up      up       INTERNAL-HUBSPOKE-SPOKE-1082-RECTIFIER_CMI1
VE16/0/0.26                   up      up       INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
VE16/0/0.27                   down    down     INTERNAL-HUBSPOKE-SPOKE-1084-OSU-CMI
VE16/0/0.28                   down    down     INTERNAL-HUBSPOKE-SPOKE-1084-OTDR-CMI
VE16/0/0.29                   up      up       INTERNAL-HUBSPOKE-SPOKE-1086-MNG-AP-CMI1
VE16/0/0.30                   down    down     INTERNAL-HUBSPOKE-SPOKE-1086-MNG-AP-CMI2
VE16/0/0.31                   up      up       INTERNAL-FULLMESH-SPOKE-2020-CMI-Contact-Center
VE16/0/0.33                   up      up       INTERNAL-FULLMESH-SPOKE-2020-OPMC-CMI-IPVI500001
VE16/0/0.34                   up      up       EXTERNAL-FULLMESH-SPOKE-600302-IPV0500362
VE16/0/0.35                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151105
VE16/0/0.36                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151105
VE16/0/0.37                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500006
VE16/0/0.38                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500014
VE16/0/0.39                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500028
VE16/0/0.40                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500032
VE16/0/0.41                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151107
VE16/0/0.42                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500119
VE16/0/0.44                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500435
VE16/0/0.45                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500051
VE16/0/0.46                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500068
VE16/0/0.47                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500028
VE16/0/0.48                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500058
VE16/0/0.49                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500549
VE16/0/0.51                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151107
VE16/0/0.52                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500074
VE16/0/0.53                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151108
VE16/0/0.54                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500094
VE16/0/0.55                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500095
VE16/0/0.58                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500104
VE16/0/0.60                   down    down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500108
VE16/0/0.61                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500109
VE16/0/0.62                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151108
VE16/0/0.63                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500115
VE16/0/0.64                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500206
VE16/0/0.65                   down    down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLB500001
VE16/0/0.66                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151109
VE16/0/0.67                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151109
VE16/0/0.68                   down    down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500011
VE16/0/0.69                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151110
VE16/0/0.70                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500152(VIP)
VE16/0/0.71                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500024
VE16/0/0.72                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500027
VE16/0/0.73                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500026
VE16/0/0.74                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151110
VE16/0/0.75                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151113
VE16/0/0.76                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500005
VE16/0/0.78                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB500177
VE16/0/0.79                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500024
VE16/0/0.80                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500435
VE16/0/0.81                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151113
VE16/0/0.83                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151115
VE16/0/0.84                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151115
VE16/0/0.87                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500085
VE16/0/0.88                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151116
VE16/0/0.90                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151116
VE16/0/0.91                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500205
VE16/0/0.92                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151124
VE16/0/0.93                   up      up       EXTERNAL-FULLMESH-SPOKE-600147-IPV0500179
VE16/0/0.94                   up      up       EXTERNAL-FULLMESH-SPOKE-600147-IPV0500189
VE16/0/0.95                   up      up       EXTERNAL-FULLMESH-SPOKE-600155-IPV0500515
VE16/0/0.97                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500550
VE16/0/0.99                   up      up       EXTERNAL-FULLMESH-SPOKE-610047-IPV0500216
VE16/0/0.100                  up      up       INTERNAL-HUBSPOKE-SPOKE-1002-IPTV-VOD-CMI1
VE16/0/0.102                  down    down     INTERNAL-HUBSPOKE-SPOKE-1005-MNG-ME-CMI1_V2
VE16/0/0.106                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151124
VE16/0/0.107                  up      up       INTERNAL-HUBSPOKE-SPOKE-IPTV-VIP-INL0500152
VE16/0/0.109                  up      up       INTERNAL-FULLMESH-SPOKE-1085-MNG-TDM-OVER-IP
VE16/0/0.110                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151125
VE16/0/0.112                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500007
VE16/0/0.113                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151125
VE16/0/0.114                  up      up       EXTERNAL-FULLMESH-SPOKE-600237-IPV0500317
VE16/0/0.115                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151130
VE16/0/0.116                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151130
VE16/0/0.117                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500480
VE16/0/0.121                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151132
VE16/0/0.129                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500143
VE16/0/0.130                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151132
VE16/0/0.132                  up      up       EXTERNAL-FULLMESH-SPOKE-600144-IPV0500345
VE16/0/0.133                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500147
VE16/0/0.138                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500042
VE16/0/0.139                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500043
VE16/0/0.140                  down    down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500206
VE16/0/0.143                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500136
VE16/0/0.144                  up      up       DPA-CMI1-ITVI500006             
VE16/0/0.145                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500044
VE16/0/0.146                  up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500133
VE16/0/0.147                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500153
VE16/0/0.149                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500436
VE16/0/0.151                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500157
VE16/0/0.153                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500165
VE16/0/0.156                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500330
VE16/0/0.157                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500170
VE16/0/0.160                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500172
VE16/0/0.161                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500008
VE16/0/0.162                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB500058
VE16/0/0.166                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500177
VE16/0/0.169                  up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
VE16/0/0.170                  up      up       EXTERNAL-FULLMESH-SPOKE-610066-IPV1590002
VE16/0/0.172                  up      up       EXTERNAL-FULLMESH-SPOKE-600549-IPV2100117
VE16/0/0.173                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500186
VE16/0/0.174                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500187
VE16/0/0.175                  up      up       EXTERNAL-FULLMESH-SPOKE-610052-IPV0500225
VE16/0/0.176                  up      up       EXTERNAL-FULLMESH-SPOKE-610052-IPV0500224
VE16/0/0.178                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500075
VE16/0/0.179                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500199
VE16/0/0.180                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500303
VE16/0/0.181                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500068
VE16/0/0.182                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500194
VE16/0/0.183                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420111
VE16/0/0.184                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150384
VE16/0/0.185                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150958
VE16/0/0.186                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB500330
VE16/0/0.187                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420088
VE16/0/0.188                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500198
VE16/0/0.193                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151118
VE16/0/0.194                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151118
VE16/0/0.195                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150535
VE16/0/0.196                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150535
VE16/0/0.197                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500549
VE16/0/0.198                  up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI
VE16/0/0.199                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420208
VE16/0/0.200                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420211
VE16/0/0.201                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420212
VE16/0/0.203                  up      up       EXTERNAL-FULLMESH-SPOKE-600357-IPV0500414
VE16/0/0.204                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150590
VE16/0/0.205                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150590
VE16/0/0.208                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500192
VE16/0/0.209                  down    down     EXTERNAL-FULLMESH-SPOKE-600357-IPVB0500414
VE16/0/0.210                  up      up       EXTERNAL-FULLMESH-SPOKE-600366-IPV1790002
VE16/0/0.211                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150958
VE16/0/0.212                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150384
VE16/0/0.213                  up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500422
VE16/0/0.214                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420302
VE16/0/0.215                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420314
VE16/0/0.216                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420332
VE16/0/0.217                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500208
VE16/0/0.218                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500208
VE16/0/0.219                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500210
VE16/0/0.221                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500213
VE16/0/0.224                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500165
VE16/0/0.225                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500217
VE16/0/0.226                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2600013
VE16/0/0.227                  up      up       EXTERNAL-FULLMESH-SPOKE-LL-INTER-INL2600014
VE16/0/0.228                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500220
VE16/0/0.230                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670005
VE16/0/0.231                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670001
VE16/0/0.233                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500143
VE16/0/0.234                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500051
VE16/0/0.236                  up      up       EXTERNAL-FULLMESH-SPOKE-610047-IPVB0500216
VE16/0/0.238                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500045
VE16/0/0.239                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19903657
VE16/0/0.240                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19904326
VE16/0/0.241                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19904327
VE16/0/0.242                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19904769
VE16/0/0.243                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19908282
VE16/0/0.251                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500224
VE16/0/0.252                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500229
VE16/0/0.253                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500443
VE16/0/0.254                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050001
VE16/0/0.255                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPVB2050001
VE16/0/0.256                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2050001
VE16/0/0.257                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB2050001
VE16/0/0.258                  up      up       EXTERNAL-FULLMESH-SPOKE-600362-IPV0500444
VE16/0/0.259                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2670001
VE16/0/0.260                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670002
VE16/0/0.261                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670004
VE16/0/0.262                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670006
VE16/0/0.263                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670013
VE16/0/0.264                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670014
VE16/0/0.265                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670016
VE16/0/0.266                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670015
VE16/0/0.267                  up      up       EXTERNAL-FULLMESH-SPOKE-600544-IPV2670008
VE16/0/0.268                  up      up       EXTERNAL-FULLMESH-SPOKE-600544-IPV2670007
VE16/0/0.269                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD2050001
VE16/0/0.270                  up      up       EXTERNAL-FULLMESH-SPOKE-600543-IPV0500449
VE16/0/0.271                  up      up       EXTERNAL-FULLMESH-SPOKE-600544-IPV2670003
VE16/0/0.272                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500024
VE16/0/0.273                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500233
VE16/0/0.274                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500233
VE16/0/0.275                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500104
