<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
GE4/0/5(10G)                  *down   down                                     
GE4/0/6(10G)                  *down   down                                     
GE4/0/7(10G)                  *down   down                                     
GE4/0/8(10G)                  *down   down                                     
GE4/0/9(10G)                  up      up       BS-CMIBS07(LPN)_link4_5/1/1_PC  
GE4/0/10(10G)                 *down   down                                     
GE4/0/11(10G)                 *down   down                                     
GE4/1/0(10G)                  *down   down                                     
GE4/1/1(10G)                  *down   down                                     
GE4/1/2(10G)                  *down   down                                     
GE4/1/3(10G)                  *down   down                                     
GE4/1/4(10G)                  *down   down                                     
GE4/1/5(10G)                  *down   down                                     
GE4/1/6(10G)                  *down   down                                     
GE4/1/7(10G)                  *down   down                                     
GE4/1/8(10G)                  up      up       MME-4001-36(CMI)_link3_0/6/7_OFC
GE4/1/9(10G)                  up      up       MME-4001-36(CMI)_link5_0/6/8_WDM
GE4/1/10(10G)                 up      up       MME-4001-36(CMI)_link7_0/6/9_WDM
GE4/1/11(10G)                 *down   down                                     
GE5/0/0(10G)                  up      up       MME-4201-32(LPN)_link1_0/3/0_WDM
GE5/0/1(10G)                  up      up       MME-4201-32(LPN)_link3_0/3/1_WDM
GE5/0/2(10G)                  up      up       MME-4280-20(LPN)_link1_0/3/0_OFC
GE5/0/3(10G)                  up      up       MME-4280-20(LPN)_link3_0/3/1_OFC
GE5/0/4(10G)                  up      up       MME-4004-31(CMI)_link1_0/6/6_OFC
GE5/0/5(10G)                  up      up       MME-4004-31(CMI)_link3_0/6/7_OFC
GE5/0/6(10G)                  up      up       MME-4004-31(CMI)_link4_0/5/8_OFC
GE5/0/7(10G)                  up      up       MME-4004-31(CMI)_link6_0/5/9_WDM
GE5/0/8(10G)                  *down   down                                     
GE5/0/9(10G)                  *down   down                                     
GE5/0/10(10G)                 *down   down                                     
GE5/0/11(10G)                 *down   down                                     
GE5/1/0(10G)                  up      up       BS-CMIBS07(LPN)_link1_5/0/0_PC  
GE5/1/1(10G)                  up      up       BS-CMIBS07(LPN)_link2_5/0/1_PC  
GE5/1/2(10G)                  up      up       BS-CMIBS07(LPN)_link5_4/0/0_PC  
GE5/1/3(10G)                  *down   down                                     
GE5/1/4(10G)                  *down   down                                     
GE5/1/5(10G)                  *down   down                                     
GE5/1/6(10G)                  up      up       MME-4017-31_link1_0/3/0_WDM     
