80d4-a5ab-a0c4,CMI1-600236-3605-0405,-,-,Eth-Trunk0,dynamic,0/4096,nan
0025-9e6f-261e,CMI1-1072-2992-0004,-,-,GE0/6/2.2992,dynamic,0/0,2992
0025-9ea7-1066,CMI1-1072-2991-0004,-,-,Eth-Trunk12.2991,dynamic,0/0,2991
0025-9ea7-1066,CMI1-1072-2992-0004,-,-,Eth-Trunk12.2992,dynamic,0/0,2992
38ed-18b5-7d0c,CMI1-1015-0030-0000,-,-,GE0/5/3.30,dynamic,0/0,30
0025-9e6f-25e4,CMI1-1072-2992-0004,-,-,Eth-Trunk12.2992,dynamic,0/0,2992
cc50-0ac3-d4da,CMI1-1014-0410-0004,-,-,Eth-Trunk10.410,dynamic,0/0,410
6416-8d3a-b10d,CMI1-600236-3605-0405,3605,405,Eth-Trunk12.3000,dynamic,0/0,3000
6416-8d3a-ed95,CMI1-600236-3528-0210,3528,210,GE0/6/4.3000,dynamic,0/0,3000
cc50-0a77-e631,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
001b-d53d-6385,CMI1-600415-2878-0000,-,-,Eth-Trunk15.2878,dynamic,0/0,2878
cc50-0ac0-b392,CMI1-1014-0410-0004,-,-,Eth-Trunk14.410,dynamic,0/0,410
286e-d46d-f8af,CMI1-1072-2992-0004,-,-,Eth-Trunk12.2992,dynamic,0/0,2992
38ed-18b5-7d0c,CMI1-610066-0896-0000,-,-,GE0/5/3.896,dynamic,0/0,896
9c7d-a39b-4565,CMI1-1072-2992-0004,-,-,GE0/6/5.2992,dynamic,0/0,2992
9c7d-a39b-4565,CMI1-1072-2991-0004,-,-,GE0/6/5.2991,dynamic,0/0,2991
cc50-0ae2-bf07,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
f8a0-3d18-6507,CMI1-600612-3000-3018,3000,3018,Eth-Trunk12.3018,dynamic,0/0,3018
cc50-0ac4-8304,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
d4b1-10c1-8f2b,CMI1-1072-2992-0004,-,-,Eth-Trunk12.2992,dynamic,0/0,2992
d4b1-10c1-8f2b,CMI1-1072-2991-0004,-,-,Eth-Trunk12.2991,dynamic,0/0,2991
0462-735e-b101,CMI1-LL-INTER-0962-0000,-,-,GE0/5/7.962,dynamic,0/0,962
80d4-a5ab-a0c4,CMI1-600510-0891-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-1072-2991-0004,-,-,Eth-Trunk0,dynamic,0/4096,nan
2c54-2d63-f6e1,CMI1-600510-0891-0000,-,-,GE0/5/6.891,dynamic,0/0,891
80d4-a5ab-a0c4,CMI1-3BB-LL-0985-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
cc50-0ac4-4992,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
2c54-2d63-f6e1,CMI1-3BB-LL-0985-0000,-,-,GE0/5/6.985,dynamic,0/0,985
cc50-0ae7-68ef,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
